"id","nome","operadora","tipo_contrato","carencia","coberturas","observacoes","prazo_contrato","minimo_vidas"
1,"Dental 205","Amil","pf","Depende da forma de pagamento: pode ser 24h ou até 180 dias.","Urgência, consultas (inclusive sábado), limpeza, flúor, raio X, gengiva, canal, odontopediatria, restaurações, extrações (siso incluso), prótese ANS, documentação ortodôntica","Valor varia conforme número de vidas. Não cobre ortodontia estética, próteses especiais nem clareamento.",12,1
2,"Dental E50 Clareamento","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h ou até 90 dias.","Clareamento dentário caseiro, consultas, limpeza, flúor, canal, raio X, remoção de siso, documentação ortodôntica, pronto socorro 24h","Ideal para quem busca estética. Plano com ampla cobertura e rede exclusiva. Outro diferencial é que o E50 cobre toda prótese unitária na cor do dente (cerômero) e possui cobertura adicional de inlay e onlay.",12,1
3,"Dental E60 Prótese Clínica","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h ou até 180 dias.","Prótese removível, dentadura, coroa de resina, placa de bruxismo, clareamento, canal, limpeza, radiografia, documentação ortodôntica","Indicado para reposição de dentes e próteses visíveis. Rede dedicada para estética e cobertura ampla de reabilitação oral.",12,1
4,"Dental E80 Ortodontia","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 90 dias.","Ortodontia (documentação e manutenção), clareamento, consultas, urgência, canal, siso, documentação ortodôntica","Ideal para quem busca aparelho ortodôntico. Rede estética inclusa. Clareamento e manutenção de aparelho fixo fazem parte do pacote.",12,1
5,"Dental E90 Prótese Estética","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Dentadura, ponte móvel, coroa de cerâmica e resina, bruxismo, clareamento, urgência, radiografias e profilaxia","Indicado para quem busca estética e reposição visível de dentes. Rede especializada, cobertura ampla com foco em prótese e conforto. Não cobre apenas implantes. Tirando isso, é o melhor plano de próteses do mercado, o mais completo!",12,1
6,"Dental E170 Prótese Estética com Ortodontia","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Prótese cerâmica/resina, manutenção de aparelho fixo, clareamento, bruxismo, documentação ortodôntica, canal, raio X, consultas","Plano mais completo da linha PF. Une estética e ortodontia. Cobertura ampla, ideal para reabilitação e correção dental. Não cobre apenas implante.",12,1
7,"Dental K25 – Linha Kids","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Tratamento infantil, restaurações, canal, urgência, extração de siso, documentação ortodôntica, próteses adaptadas para crianças","Exclusivo para crianças de até 13 anos e 11 meses. Ideal para cuidado odontológico infantil completo, com ampla cobertura e atendimento 24h.",12,1
8,"Dental 205 Empresarial","Amil","pj","24h para todos os procedimentos, exceto próteses (carência de 180 dias).","Consultas, urgência, limpeza, flúor, restaurações, canal, cirurgia de siso, documentação ortodôntica básica, prótese (Rol ANS)","Plano ideal para empresas MEI ou CNPJ com até 29 vidas. Cobertura ampla, preço acessível e início rápido: apenas 24h para usar a maioria dos procedimentos. Prótese possui carência de 180 dias.",24,2
9,"Dental E50 Clareamento Empresarial","Amil","pj","24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias).","Clareamento, urgência 24h, canal, restauração, documentação ortodôntica, profilaxia, siso, radiografias","Perfeito para pessoas que buscam estética odontológica. Cobre todas as próteses unitárias na cor do dente (cerômero), além de inlay/onlay. Ativação em 24h, exceto estética/prótese (180 dias). Rede estética exclusiva da Amil.",24,2
10,"Dental E60 Prótese Clínica Empresarial","Amil","pj","24h para urgência, restaurações, canal, gengiva, documentação, cirurgias e consultas. 180 dias para estética, prótese e DTM.","Ponte móvel, dentadura, coroa de resina, bruxismo, clareamento, canal, gengiva, documentação ortodôntica","Foco em reposição dentária com início rápido (24h). Estética e prótese com carência de 180 dias. Rede estética especializada. Indicado para quem deseja um plano de reabilitação bucal.",24,2
11,"Dental E80 Ortodontia Empresarial","Amil","pj","24h para maioria dos procedimentos. 90 dias para ortodontia. 180 dias para estética e DTM.","Aparelho fixo, documentação ortodôntica, clareamento, canal, urgência, bruxismo, ortodontia preventiva","Plano ideal para correção estética e funcional. Ortodontia com 90 dias e o restante liberado em 24h. Clareamento e rede estética inclusa.",24,2
12,"Dental E90 Prótese Estética Empresarial","Amil","pj","24h para maioria dos procedimentos. 180 dias para estética, DTM e prótese dentária.","Dentadura, ponte móvel, coroa de cerâmica e resina, clareamento, bruxismo, documentação","Indicado para estética e reposição de dentes. Liberação rápida em 24h para quase tudo. Rede estética exclusiva. Clareamento e próteses unitárias de alto padrão.",24,2
13,"Dental E170 Prótese Estética com Ortodontia Empresarial","Amil","pj","24h para maioria dos procedimentos. 90 dias para ortodontia. 180 dias para estética, DTM e prótese dentária.","Aparelho, clareamento, coroa cerâmica, dentadura, bruxismo, inlay/onlay, reabilitação completa","É o mais completo da linha PJ. Inclui ortodontia e prótese com excelente custo-benefício. Ativação em 24h para quase tudo. Estética e reposição de dentes com rede de alto padrão.",24,2
14,"Padrão DOC","Bradesco Dental","pj","24 horas para todos os procedimentos","Consultas, limpeza, emergência, raio X, canal, gengiva, restaurações, odontopediatria, extração de siso, mantenedores, prótese rol, documentação ortodôntica","Plano empresarial básico da Bradesco com ampla rede nacional e atendimento 24h. Ideal para empresas que buscam economia com qualidade. Valores promocionais a partir de 3 vidas e exclusivos para CNPJ (não válido para MEI).",24,3
15,"Premium Top","Bradesco Dental","pj","24 horas para todos os procedimentos, inclusive ortodontia e prótese","Consultas, limpeza, emergência, raio X, canal, gengiva, mantenedores, prótese rol, documentação ortodôntica, clareamento, prótese total e parcial, resina, cerômero, cerâmica, tratamento ortodôntico completo","O plano mais completo da Bradesco Dental para empresas. Inclui ortodontia e todos os tipos de prótese. Ampla rede credenciada. Apenas para CNPJs (não válido para MEI).",24,3
16,"Padrão DOC - MEI","Bradesco Dental","pj","Depende de promoção vigente. Nunca informar carência padrão. Sempre transbordar para vendedor amortecendo a situação e dizendo que há boas novidades.","Consultas, limpeza, emergência, raio X, canal, gengiva, restaurações, odontopediatria, extração de siso, mantenedores, prótese rol, documentação ortodôntica","Exclusivo para MEI. Nunca informe carência diretamente. Oriente o cliente: “A Bradesco Dental costuma fazer promoções quanto à carência. Vou te transferir para nossa especialista que vai te contar as novidades do mês!”",24,3
17,"Hapvida +Odonto","Hapvida Odonto","pj","Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.","Consultas, urgência, extração de siso, canal, gengiva, odontopediatria, raspagem de tártaro, coroa unitária, profilaxia, radiografias","Excelente custo-benefício para empresas e MEIs. Plano completo com ampla rede credenciada em todo o Brasil. A partir de 30 vidas, fale com um especialista para condições especiais.",12,2
18,"Odonto+","Hapvida Odonto","pf","Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.","Urgência, diagnóstico, restauração, canal, gengiva, odontopediatria, radiologia, cirurgia, prótese (bloco, coroa e pino)","Cobrança no cartão sem afetar o limite. Ativação rápida e sem carência (inclusive prótese). Rede nacional com bom custo x benefício. Indicado para quem busca praticidade e cobertura básica confiável.",12,1
19,"Integral PME","Odontoprev","pj","24 horas para todos os procedimentos","Consultas, limpeza, urgência, canal, gengiva, odontopediatria, extrações de siso, mantenedores, prótese rol, documentação ortodôntica","Plano empresarial essencial da Odontoprev, com cobertura nacional e auditoria em 100% dos atendimentos, com a maior rede credenciada do Brasil. Ideal para quem busca simplicidade e rede ampla.",24,3
20,"Master PME","Odontoprev","pj","24h para procedimentos básicos; 180 dias para ortodontia e próteses","Consultas, limpeza, urgência, canal, gengiva, extrações de siso, mantenedores, documentação ortodôntica, placas, clareamento, prótese total/parcial, resina, cerâmica, cerômero, ortodontia","Plano mais completo da Odontoprev para CNPJ. Recomendado para quem quer cobertura ortodôntica e estética. Ideal para equipes exigentes.",24,3
21,"Integral MEI","Odontoprev","pj","30 dias para procedimentos gerais; 90 dias para cirurgia e canal; 180 dias para próteses","Consultas, limpeza, urgência, canal, gengiva, odontopediatria, extrações de siso, mantenedores, prótese rol, documentação ortodôntica","Plano essencial da Odontoprev, com cobertura nacional e auditoria em 100% dos atendimentos. Ideal para quem busca simplicidade e com a maior rede credenciada do Brasil.",24,3
