plano_id;nome_plano;operadora;tipo_contrato;prazo_contrato;forma_pagamento;preco;carencia;prioridade;permite_mescla_planos;tem_ortodontia;tem_clareamento;tem_protese_rol;tem_protese_estetica;tem_implante
1;Dental 205;Amil;pf;12;Cartão de crédito (consome limite);49.99;24 horas para todos os procedimentos;1;false;False;False;True;False;False
1;Dental 205;Amil;pf;12;Boleto anual;599.88;24 horas para todos os procedimentos;1;false;False;False;True;False;False
1;Dental 205;Amil;pf;12;Cartão recorrente ou Boleto mensal;52.45;"24h para urgência; 30 dias para consultas; 90 dias para dentística/cirurgias; 120 dias para canal e gengiva; 180 dias para prótese";1;false;False;False;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito (consome limite);89.36;24h para todos os procedimentos exceto clareamento estético (90 dias);1;false;False;True;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Boleto anual;1072.32;24h para todos os procedimentos exceto clareamento estético (90 dias);1;false;False;True;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;97.58;"24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para cirurgias e canal; 90 dias para prótese e estética";1;false;False;True;True;False;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito (consome limite);159.48;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);1;false;False;True;True;True;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Boleto anual;1913.76;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);1;false;False;True;True;True;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;174.60;"24h para urgência; 30 dias para consultas; 60 dias para cirurgias e canal; 120 dias para prótese Rol; 180 dias para estética e prótese dentária";1;false;False;True;True;True;False
4;Dental E80 Ortodontia;Amil;pf;12;Boleto anual;1398.00;"24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias";1;false;True;True;True;False;False
4;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito (consome limite);116.50;"24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias";1;false;True;True;True;False;False
4;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;132.90;"24h para urgência; 30 dias para consultas e diagnósticos; 60 dias para canal, ortodontia e cirurgias; 90 dias para prótese Rol e estética";1;false;True;True;True;False;False
5;Dental E90 Prótese Estética;Amil;pf;12;Cartão de crédito (consome limite);240.79;"24h para todos os procedimentos; prótese estética e dor orofacial: 90 dias";1;false;False;True;True;True;False
5;Dental E90 Prótese Estética;Amil;pf;12;Boleto anual;2889.48;"24h para todos os procedimentos; prótese estética e dor orofacial: 90 dias";1;false;False;True;True;True;False
5;Dental E90 Prótese Estética;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;265.56;"24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para cirurgias e canal; 120 dias para prótese Rol e dor orofacial; 180 dias para estética e prótese dentária";1;false;False;True;True;True;False
6;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Cartão de crédito (consome limite);260.01;"24h para todos os procedimentos; ortodontia: 60 dias; estética e prótese: 90 dias";1;false;True;True;True;True;False
6;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;290.00;"24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para canal, ortodontia e cirurgias; 120 dias para prótese Rol; 180 dias para estética e prótese dentária";1;false;True;True;True;True;False
6;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Boleto anual;3120.12;"24h para todos os procedimentos; ortodontia: 60 dias; estética e prótese: 90 dias";1;false;True;True;True;True;False
7;Dental K25 – Linha Kids;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;32.99;"24h para urgência; 30 dias para consultas e diagnósticos; 90 dias para cirurgias; 120 dias para gengiva e canal; 180 dias para prótese e DTM";1;false;False;False;True;False;False
7;Dental K25 – Linha Kids;Amil;pf;12;Cartão de crédito (consome limite);32.89;24 horas para todos os procedimentos;1;false;False;False;True;False;False
7;Dental K25 – Linha Kids;Amil;pf;12;Boleto anual;394.68;24 horas para todos os procedimentos;1;false;False;False;True;False;False
8;Dental 205 Empresarial;Amil;pj;24;Cartão de crédito;28.90;24h para todos os procedimentos, exceto próteses (carência de 180 dias);1;false;False;False;True;False;False
8;Dental 205 Empresarial;Amil;pj;24;Boleto mensal;28.90;24h para todos os procedimentos, exceto próteses (carência de 180 dias);1;false;False;False;True;False;False
9;Dental E50 Clareamento Empresarial;Amil;pj;24;Boleto mensal;47.26;24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias);1;false;False;True;True;False;False
9;Dental E50 Clareamento Empresarial;Amil;pj;24;Cartão de crédito;47.26;24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias);1;false;False;True;True;False;False
10;Dental E60 Prótese Clínica Empresarial;Amil;pj;24;Boleto mensal;70.55;"Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)";1;false;False;True;True;True;False
10;Dental E60 Prótese Clínica Empresarial;Amil;pj;24;Cartão de crédito;70.55;"Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)";1;false;False;True;True;True;False
11;Dental E80 Ortodontia Empresarial;Amil;pj;24;Cartão de crédito;73.65;"Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética)";1;false;True;True;True;False;False
11;Dental E80 Ortodontia Empresarial;Amil;pj;24;Boleto mensal;73.65;"Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética)";1;false;True;True;True;False;False
12;Dental E90 Prótese Estética Empresarial;Amil;pj;24;Boleto mensal;83.50;"Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)";1;false;False;True;True;True;False
12;Dental E90 Prótese Estética Empresarial;Amil;pj;24;Cartão de crédito;83.50;"Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)";1;false;False;True;True;True;False
13;Dental E170 Prótese Estética com Ortodontia Empresarial;Amil;pj;24;Cartão de crédito;124.90;"Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética e prótese)";1;false;True;True;True;True;False
13;Dental E170 Prótese Estética com Ortodontia Empresarial;Amil;pj;24;Boleto mensal;124.90;"Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética e prótese)";1;false;True;True;True;True;False
14;Padrão DOC;Bradesco Dental;pj;24;Boleto mensal;27.42;24 horas para todos os procedimentos;3;false;False;False;True;False;False
15;Premium Top;Bradesco Dental;pj;24;Boleto mensal;106.22;24 horas para todos os procedimentos, inclusive ortodontia e prótese;3;false;True;True;True;True;False
16;Padrão DOC - MEI;Bradesco Dental;mei;24;Boleto mensal;32.90;Depende de promoção vigente. Nunca informar carência padrão. Sempre transbordar para vendedor amortecendo a situação e dizendo que há boas novidades.;3;false;False;False;True;False;False
17;Hapvida +Odonto;Hapvida Odonto;pj;12;Boleto mensal;23.90;Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.;2;false;False;False;True;False;False
18;Odonto+;Hapvida Odonto;pf;12;Cartão de crédito (não consome limite);39.90;Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.;2;false;False;False;True;False;False
19;Integral PME;Odontoprev;pj;24;Boleto mensal;23.90;24 horas para todos os procedimentos;4;true;False;False;True;False;False
20;Master PME;Odontoprev;pj;24;Boleto mensal;99.90;"24h para procedimentos básicos; 180 dias para ortodontia e próteses";4;true;True;True;True;True;False
21;Integral MEI;Odontoprev;mei;24;Boleto mensal;27.90;"30 dias para procedimentos gerais; 90 dias para cirurgia e canal; 180 dias para próteses";4;true;False;False;True;False;False
;;;;;;;;;;;;;;
